"Key","Status"
"Specialization","Needs categorization"
"Add New Doctor","Needs categorization"
"Book an appointment","Needs categorization"
"Schedule Appointment","Needs categorization"
"therapy list","Needs categorization"
"My Playlist","Needs categorization"
"Doctor Name","Needs categorization"
"Created","Needs categorization"
"Updated","Needs categorization"
"start your music therapy","Needs categorization"
"start your","Needs categorization"
"Set the Therapy thumbnail image. Only *.png, *.jpg, and *.jpeg image files are accepted","Needs categorization"
"File Name","Needs categorization"
"Upload File","Needs categorization"
"Edit Audio (optional)","Needs categorization"
"Old Audio","Needs categorization"
"Patient Name","Needs categorization"
"User","Needs categorization"
"User Name","Needs categorization"
"Patient","Needs categorization"
"Add Feedback","Needs categorization"
"Improvement","Needs categorization"
"Date","Needs categorization"
"Search","Needs categorization"
"Search doctors...","Needs categorization"
"No results found","Needs categorization"
"Note","Needs categorization"
"Submit Feedback","Needs categorization"
"All Therapies","Needs categorization"
"Booking Date","Needs categorization"
"Booking Reason","Needs categorization"
"Booking status","Needs categorization"
"Add Therapy","Needs categorization"
"Create by Admin, No Patient Available","Needs categorization"
"Change Status","Needs categorization"
"be Approved before","Needs categorization"
"Add","Needs categorization"
"Booking with a doctor","Needs categorization"
"Doctor Specialization","Needs categorization"
"Canceled","Needs categorization"
"Reschedule appointment","Needs categorization"
"Select Appointment - Week View","Needs categorization"
"Select Appointment - Month View","Needs categorization"
"Select Time","Needs categorization"
"Close","Needs categorization"
"Save","Needs categorization"
"Cancel","Needs categorization"
"Reason","Needs categorization"
"Appointment Event","Needs categorization"
"Delete Event","Needs categorization"
"Are you sure you want to delete this event?","Needs categorization"
"Delete","Needs categorization"
"AM","Needs categorization"
"PM","Needs categorization"
"Samaa Music Player","Needs categorization"
"Session Chat","Needs categorization"
"Start Call","Needs categorization"
"End Call","Needs categorization"
"Type your message here","Needs categorization"
"Pending","Needs categorization"
"Approved","Needs categorization"
"Canceled By Patient","Needs categorization"
"Select a time","Needs categorization"
"Available (Preview)","Needs categorization"
"Available","Needs categorization"
"From","Needs categorization"
"To","Needs categorization"
"prev","Needs categorization"
"today","Needs categorization"
"1_day_ago","Needs categorization"
"x_days_ago","Needs categorization"
"week","Needs categorization"
"month","Needs categorization"
"day","Needs categorization"
"list","Needs categorization"
"This time has been added successfully","Needs categorization"
"Success","Needs categorization"
"Error","Needs categorization"
"OK","Needs categorization"
"The email address is already in use by another user","Needs categorization"
"This time has been predetermined","Needs categorization"
"The appointment has been successfully deleted","Needs categorization"
"You cannot delete it. It has already been booked","Needs categorization"
"The appointment has been booked successfully, If you want to check your reservation, click (go back)","Needs categorization"
"reserved","Needs categorization"
"Successfully Logged-in","Needs categorization"
"The email address is incorrect","Needs categorization"
"Password is incorrect","Needs categorization"
"Login failed due to unknown reason","Needs categorization"
"This email is already registered.","Needs categorization"
"Successfully Added!","Needs categorization"
"Patient Canceled successfully","Needs categorization"
"Doctor created successfully","Needs categorization"
"Doctor Profile updated successfully","Needs categorization"
"Doctor updated successfully","Needs categorization"
"Doctor deleted successfully","Needs categorization"
"Doctor updated status successfully","Needs categorization"
"Feedback created successfully","Needs categorization"
"Feedback deleted successfully","Needs categorization"
"This email is associated with another account.","Needs categorization"
"The email already exists. Please log in to submit feedback.","Needs categorization"
"Patient created successfully","Needs categorization"
"Patient updated successfully","Needs categorization"
"Patient Profile updated successfully","Needs categorization"
"Patient deleted successfully","Needs categorization"
"Therapy Created successfully","Needs categorization"
"Therapy deleted successfully","Needs categorization"
"Therapy Updated successfully","Needs categorization"
"Control_patient","Needs categorization"
"Songs","Needs categorization"
"Albums","Needs categorization"
"Play","Needs categorization"
"Pause","Needs categorization"
"Change_track","Needs categorization"
"INITIALIZING MUSIC PLAYER","Needs categorization"
"All the songs","Needs categorization"
"Search or Create Album","Needs categorization"
"User not found","Needs categorization"
"Blog created successfully","Needs categorization"
"Blog updated successfully","Needs categorization"
"Blog deleted successfully","Needs categorization"
"Blog list","Needs categorization"
"Add New Blog","Needs categorization"
"posted Date","Needs categorization"
"Set the Blog thumbnail image. Only *.png, *.jpg, and *.jpeg image files are accepted","Needs categorization"
"Posted on","Needs categorization"
"Search","Needs categorization"
"related Post","Needs categorization"
"blogs","Needs categorization"
